 Resultados de la simulación
 Numero de partículas:         500
 Volumen de la caja   1000.0000000000000     
 Lado de la caja   10.000000000000000     
 Radio de corte del potencial   5.0000000000000000     
 Energía potencial =  -1688.1603719028210     
 Energía cinética  =   1023.1603719028227     
 Energía total     =  -664.99999999999829     
 Momento neto  =   1.7341171882562566E-014
 Posiciones, velocidades, aceleraciones
     i       rx             ry             rz             vx             vy             vz             ax             ay             az
   233       5.995850       2.027378       3.800541      -0.499998       1.410646      -0.770437       0.337267       1.577828      -1.070864
   234       6.845559       2.908406       3.886082       1.407577       0.081964      -0.132598      -1.993929      -0.158825      -1.900375
   235       6.885269       2.084636       5.010916      -0.498928      -0.476593      -1.935041       0.273531      -1.078403       0.200206
   236       6.087412       2.885428       4.977218      -0.732312       1.088685       0.323105      -0.693208       0.437128      -0.481276
   237       8.076046       2.034117       4.125620       1.109218      -1.556148      -1.863560      -2.127713      -0.105514      -3.840106
   238       8.962156       3.030720       3.889775      -1.341239      -1.728027      -0.807308      -0.768722       1.225421      -1.608418
   239       8.817020       1.812304       4.885440      -0.978509       0.822156      -0.670087      41.298188      39.617771     -11.349328
   240       8.194167       3.108458       5.089592      -1.225873      -1.824030      -1.909790       1.699324       1.352844      -0.276546
   241      -0.135159       3.943588       3.960042      -1.967189       1.084126      -0.303601      -0.932314       0.431750      -1.168073
   242       1.019398       4.972934       3.950792      -1.353333      -0.357265      -1.442473      -1.526530       0.658137       0.399011
   243       1.093913       3.892423       4.897289       1.367992      -0.733449       0.863059       0.537277      -0.734443      -0.867833
   244      -0.081109       5.051552       4.948950       0.662850      -1.206525       0.432112      -1.797431       2.031577      -0.501673
   245       2.072020       3.868123       4.028148       0.447882      -0.826983      -2.011623       0.624636      -1.598660      -0.394130
   246       2.844505       4.929106       4.179646      -0.360047      -1.572102      -1.068052      -2.550115      -0.741428       1.179816
   247       2.952872       3.966132       5.167960      -0.351383      -0.053323      -0.879174       0.155811      -0.234708      -0.358232
   248       2.007764       5.188116       5.061571      -0.135000       2.051684       0.371765       1.158964      -4.675360      -9.127135
